,towns,lon,lat
126,"Beauf, Missouri",-91.8318334,37.9642529
127,"Beaufort, North Carolina",-76.6638186,34.7182174
128,"Beaufort, South Carolina",-80.6698286,32.4315813
129,"Beaver Town, Pennsylvania",-80.3047846,40.6953437
130,"Beaver, Pennsylvania",-80.3047846,40.6953437
131,"Beaverstown, Pennsylvania",-77.1945247,41.2033216
132,"Beavertown, Pennsylvania",-77.1694299,40.7536912
133,"Becket, Massachusetts",-73.0829366,42.3319904
134,"Beckman, New York",-79.5716425,42.3197621
135,"Beckmantown, New York",-73.4920802,44.7708742
136,"Bedford, Massachusetts",-71.2760089,42.4906231
137,"Bedford, Missouri",-91.0011902,39.0042561
138,"Bedford, New York",-73.6437397,41.204262
139,"Bedford, Pennsylvania",-78.5039069,40.0186921
140,"Beekman, New York",-73.7129076,41.6109269
141,"Beekmantown, New York",-73.4920802,44.7708742
142,"Bel Air, Maryland",-76.3482931,39.5359406
143,"Belchertown, Massachusetts",-72.4008884,42.2770346
144,"Belfast, Maine",-69.0064234,44.4259092
145,"Belfast, Massachusetts",-71.00822,42.54648
146,"Belgrade, Illinois",-88.6722114,37.1518588
147,"Belgrade, Maine",-69.8321004,44.4466514
148,"Belgrade, Massachusetts",-71.1399376,42.2861391
149,"Belle Air, Maryland",-76.3482931,39.5359406
150,"Belle Fountaine, Illinois",-89.3985283,40.6331249
151,"Belle Mead, Pennsylvania",-79.9253493,42.1610243
152,"Belleville, Illinois",-89.9839935,38.5200504
153,"Bellingham, Massachusetts",-71.4745881,42.0867608
154,"Belmont, Maine",-69.111907,44.3776275
155,"Belmont, Massachusetts",-71.1776114,42.3956405
156,"Belvidere, Vermont",-72.6986673,44.7492093
157,"Bengal, New York",-77.5622209,43.142
158,"Bennington, Vermont",-73.1967741,42.8781345
159,"Benson, Vermont",-73.3001233,43.7099497
160,"Berkeley, Massachusetts",-71.0828222,41.8459347
161,"Berkley, Massachusetts",-71.0828222,41.8459347
162,"Berkshire, New York",-76.1865964,42.3042402
163,"Berkshire, Vermont",-72.7754147,44.9717124
164,"Berlin, Connecticut",-72.7456519,41.621488
165,"Berlin, Maine",-70.6254973,44.8088032
166,"Berlin, Massachusetts",-71.6370121,42.3812039
167,"Berlin, New York",-73.3720549,42.6931351
168,"Berlin, Vermont",-72.5861615,44.2152614
169,"Bernardston, Massachusetts",-72.5483277,42.6710048
170,"Berne, New York",-74.1334647,42.6253546
171,"Berwick, Maine",-70.8635506,43.2683199
172,"Berwick, Massachusetts",-71.296507,41.947039
173,"Bethany, Pennsylvania",-75.2843432,41.6131434
174,"Bethel, Maine",-70.7898806,44.4044586
175,"Bethel, Massachusetts",-70.7740375,41.7799521
176,"Bethel, New York",-74.8719284,41.6837659
177,"Bethel, Vermont",-72.633995,43.8332779
178,"Bethleham, New York",-73.8183804,42.5778541
179,"Bethleham, Pennsylvania",-75.3704579,40.6259316
180,"Bethlehem, Connecticut",-73.2057595,41.640378
181,"Bethlehem, Massachusetts",-73.727257,42.624297
182,"Bethlehem, New York",-73.8183804,42.5778541
183,"Beverly, Massachusetts",-70.880049,42.5584283
184,"Biddeford, Maine",-70.4533844,43.4925843
185,"Biddeford, Massachusetts",-70.392127,43.5019408
186,"Big Prairie, Illinois",-89.5686271,36.8027132
187,"Big Prairie, Missouri",-89.5686271,36.8027132
188,"Big River, Missouri",-90.7152749,38.2722298
189,"Big Rock, Arkansas",-92.341887,34.7074645
190,"Big Spring, Tennessee",-85.108847,35.6925681
191,"Billerica, Massachusetts",-71.2689461,42.5584218
192,"Billingham, Massachusetts",-71.4745881,42.0867608
193,"Billymead, Vermont",-72.6096247,43.0887649
194,"Bingham, Maine",-69.8823059,45.0586793
195,"Bingham, Massachusetts",-71.1260733,42.3818111
196,"Black River, Arkansas",-91.1544963,36.0620597
197,"Black River, Missouri",-90.4313729,36.8888159
198,"Bladensburg, Maryland",-76.9338631,38.9392779
199,"Bladensburgh, Maryland",-76.9338631,38.9392779
200,"Blakeley, Alabama",-87.920522,30.74194
201,"Blakely, Alabama",-84.934092,31.3776754
202,"Blakesburg, Maine",-69.4454689,45.253783
203,"Blandford, Massachusetts",-72.9273224,42.1806463
204,"Blanford, Massachusetts",-72.9273224,42.1806463
205,"Blenheim, New York",-74.4760088,42.4794352
206,"Blockley and Kingsessing, Pennsylvania",-75.197445,39.9484563
207,"Bloomfield, Illinois",-88.8750649,37.4525514
208,"Bloomfield, Maine",-67.7825926,46.3176526
209,"Bloomfield, Massachusetts",-72.7300945,41.826488
210,"Bloomfield, New York",-77.4214278,42.8972624
211,"Blooming Grove, New York",-74.2047875,41.4227446
212,"Bloomingrove, New York",-73.6869697,42.6709854
213,"Blue Hill, Massachusetts",-71.0936952,42.2730584
214,"Bluehill, Maine",-68.5866904,44.4139662
215,"Bluffton, Missouri",-91.6246142,38.7075437
216,"Board Eddy, Maine",-69.206363,45.133263
217,"Bolton, Connecticut",-72.4334173,41.7689878
218,"Bolton, Massachusetts",-71.6078449,42.4334258
219,"Bolton, New York",-73.6771662,43.5788608
220,"Bolton, Vermont",-72.8787625,44.3726476
221,"Bon Homme, Missouri",-90.4408037,38.557715
222,"Bon Pas, Illinois",-89.3985283,40.6331249
223,"Bonhomme, Missouri",-90.4408037,38.557715
224,"Bonne Femme, Missouri",-92.5197932,39.2311734
225,"Boobartown, Maine",-69.4454689,45.253783
226,"Boon's Lick, Missouri",-92.8795348,39.0818604
227,"Boonsborough, Maryland",-77.6524907,39.5062108
228,"Boonville, New York",-75.3365607,43.4836801
229,"Booth Bay, Maine",-69.6337364,43.8762865
230,"Boothbay, Maine",-69.6337364,43.8762865
231,"Boothbay, Massachusetts",-69.6501281,43.838013
232,"Boscawen, New Hampshire",-71.636864,43.3243931
233,"Boston, Massachusetts",-71.0588801,42.3600825
234,"Bounty Lands, Illinois",-89.3985283,40.6331249
235,"Bowdoin, Maine",-69.9696243,44.0495825
236,"Bowdoin, Massachusetts",-71.062037,42.361365
237,"Bowdoinham, Maine",-69.8968927,44.0091821
238,"Bowdoinham, Massachusetts",-71.3824374,42.4072107
239,"Bowerman's, Illinois",-89.3985283,40.6331249
240,"Boxborough, Massachusetts",-71.5167139,42.4834197
241,"Boxford, Massachusetts",-70.996726,42.6611604
242,"Boylston, Massachusetts",-71.6908142,42.3889953
243,"Bozra, Connecticut",-72.1635959,41.5604427
244,"Bradford, Massachusetts",-71.0758905,42.7695348
245,"Bradford, Vermont",-72.1289793,43.9925666
246,"Braintree, Massachusetts",-71.0040013,42.2079017
247,"Braintree, Vermont",-72.7046487,43.9621778
248,"Brandon, Vermont",-73.0876119,43.7981195
249,"Branford, Connecticut",-72.8141185,41.2799027
250,"Brattleboro, Vermont",-72.5578678,42.8509152
251,"Brattleborough, Vermont",-72.5578678,42.8509152
252,"Brentwood, New Hampshire",-71.0735503,42.9780248
253,"Brewer, Maine",-68.7614246,44.7967378
254,"Brewer, Massachusetts",-71.6612731,42.3348549
255,"Brewster, Massachusetts",-70.0827905,41.7600902
256,"Bridgeport, Connecticut",-73.1951767,41.1865478
257,"Bridgeton, Maine",-70.7128685,44.0548021
258,"Bridgeton, Massachusetts",-71.5517084,42.2568745
259,"Bridgewater, Massachusetts",-70.9750541,41.9903519
260,"Bridgewater, New Hampshire",-71.7364678,43.6384067
261,"Bridgewater, New York",-75.2509971,42.8792376
262,"Bridgewater, Pennsylvania",-80.2965628,40.7038717
263,"Bridgewater, Vermont",-72.6250967,43.588125
264,"Bridgton, Maine",-70.7128685,44.0548021
265,"Bridgton, Massachusetts",-71.3824374,42.4072107
266,"Bridport, Vermont",-73.351164,43.9873736
267,"Brighton, Massachusetts",-71.1626756,42.3463503
268,"Brighton, New York",-77.5734048,43.1222716
269,"Brimfield, Massachusetts",-72.2005059,42.1225482
270,"Bristol, Connecticut",-72.9492703,41.6717648
271,"Bristol, Maine",-69.4954131,43.9248053
272,"Bristol, Massachusetts",-71.1448516,41.7938406
273,"Bristol, New York",-77.424156,42.8453424
274,"Bristol, Rhode Island",-71.2662025,41.6771101
275,"Bristol, Vermont",-73.0790076,44.1333912
276,"Briston, New York",-77.424156,42.8453424
277,"Broadalban, New York",-74.1965206,43.0586846
278,"Broadalbin, New York",-74.1965206,43.0586846
279,"Broadalkin, New York",-74.1965206,43.0586846
280,"Brook Haven, New York",-72.9153827,40.7792653
281,"Brookesville, Maine",-68.6847872,44.3469906
282,"Brookfield, Connecticut",-73.4095652,41.4825947
283,"Brookfield, Massachusetts",-72.1022991,42.2139817
284,"Brookfield, New York",-75.3176677,42.8128488
285,"Brookfield, Vermont",-72.6034385,44.0422861
286,"Brookhaven, New York",-72.9153827,40.7792653
287,"Brookline, Massachusetts",-71.1211635,42.3317642
288,"Brookline, Vermont",-72.6014802,43.0317464
289,"Brooklyn, Connecticut",-71.9497216,41.7881236
290,"Brooklyn, New York",-73.9441579,40.6781784
